open	high	low	close	volume	companyName	datetime	SMA20	SMA40	SMA100	SMA200	trendlower	trendhigher	tip_vela	cncf01	tip_caida	id_cncf01	ind_posicion	id_cncf	ind_high	iniTrendLow	x	sl_highs	interc_highs	trend
186.0	191.855	183.25	185.295	26100537	AAPL	2023-08-04 10:00:00	192.05825	194.0569275	194.01940199999999	192.451564			inverted_hammer	0		19.0	-1	2			52	-0.644025974025974	221.6922294372294	188.20287878787875
185.3	185.77	184.27	185.36	15572770	AAPL	2023-08-04 11:00:00	191.53225	193.7979275	193.93510299999997	192.431714			hammer	0		19.0	-1	2			53	-0.644025974025974	221.6922294372294	187.55885281385278
185.37	186.375	184.93	185.6	10404984	AAPL	2023-08-04 12:00:00	191.03225	193.52517749999998	193.853803	192.41081400000002				0		19.0	-1	2			54	-0.644025974025974	221.6922294372294	186.91482683982682
185.605	185.68	185.08	185.22	5459832	AAPL	2023-08-04 13:00:00	190.55975	193.25705250000001	193.76935299999997	192.390189				0		19.0	-1	2			55	-0.644025974025974	221.6922294372294	186.27080086580082
185.23	185.26	184.79	184.91	7819266	AAPL	2023-08-04 14:00:00	190.10525	192.98667749999998	193.690353	192.367539				0		19.0	-1	2			56	-0.644025974025974	221.6922294372294	185.62677489177486
184.91	184.915	182.07	182.35	17166024	AAPL	2023-08-04 15:00:00	189.582745	192.6471775	193.584381	192.33055199999998				0		19.0	-1	2			57	-0.644025974025974	221.6922294372294	184.9827489177489
182.355	183.24	181.92	181.99	18197697	AAPL	2023-08-04 16:00:00	189.053245	192.3009275	193.470481	192.29250199999998			inverted_hammer	0		19.0	-1	2			58	-0.644025974025974	221.6922294372294	184.33872294372293
182.56	183.93	181.99	182.61	2923954	AAPL	2023-08-07 09:00:00	188.54174500000002	191.9513025	193.34588100000002	192.24485199999998			inverted_hammer	0		19.0	-1	2			59	-0.644025974025974	221.6922294372294	183.69469696969693
182.62	183.13	178.2101	178.39	20684852	AAPL	2023-08-07 10:00:00	187.81974	191.52105250000002	193.18178099999997	192.174377				0		19.0	-1	2			60	-0.644025974025974	221.6922294372294	183.05067099567097
178.395	179.79	178.065	178.11	16616125	AAPL	2023-08-07 11:00:00	187.08674000000002	191.0673025	193.00738099999998	192.10222699999997	178.11		inverted_hammer	1	CF	19.0	0	2			61	-0.644025974025974	221.6922294372294	182.40664502164498
178.1	178.785	177.35	178.65	13411890	AAPL	2023-08-07 12:00:00	186.38974000000002	190.6300575	192.843081	192.0337835				0		19.0	1	2			62	-0.644025974025974	221.6922294372294	181.762619047619
178.66	178.83	177.74	178.23	8119933	AAPL	2023-08-07 13:00:00	185.715505	190.1880575	192.685081	191.9615335				0		19.0	1	2			63	-0.644025974025974	221.6922294372294	181.11859307359305
178.235	178.86	177.97	178.8384	6937479	AAPL	2023-08-07 14:00:00	185.072925	189.75302	192.516162	191.89027550000003				0		19.0	1	2			64	-0.644025974025974	221.6922294372294	180.47456709956708
178.84	179.04	178.31	178.475	6090062	AAPL	2023-08-07 15:00:00	184.41067500000003	189.30746000000002	192.35641199999998	191.8176005				0		19.0	1	2			65	-0.644025974025974	221.6922294372294	179.8305411255411
178.48	179.22	178.22	178.809	13409320	AAPL	2023-08-07 16:00:00	183.76412499999998	188.865685	192.195202	191.7426455				0		19.0	1	2			66			
179.17	179.47	178.15	179.02	3381272	AAPL	2023-08-08 09:00:00	183.104375	188.44368500000002	192.040602	191.6700955		179.02	hammer	0		19.0	1	2			67			
179.02	182.99	177.58	178.05	10947193	AAPL	2023-08-08 10:00:00	182.438365	187.98356	191.87800299999998	191.5956455			inverted_hammer	0		19.0	1	2			68			
178.045	179.611	177.76	178.13	11452109	AAPL	2023-08-08 11:00:00	181.752865	187.54181	191.72660299999998	191.5264005			inverted_hammer	0		19.0	1	2			69			
178.13	178.3482	177.825	177.865	7731541	AAPL	2023-08-08 12:00:00	181.09562	187.09056	191.57385299999999	191.4545755	177.865			0	CF	19.0	1	2			70			
177.8678	178.99	177.84	178.91	5137082	AAPL	2023-08-08 13:00:00	180.74061999999998	186.66880999999998	191.42505300000002	191.3867755				0		19.0	1	2			71			
178.919	179.48	178.7	179.045	5968924	AAPL	2023-08-08 14:00:00	180.42811999999998	186.24318499999998	191.27760300000003	191.3202005				0		19.0	1	2			72			
179.05	179.55	178.91	179.485	4443453	AAPL	2023-08-08 15:00:00	180.13437000000002	185.83330999999998	191.140953	191.2558255				0		19.0	1	2			73			
179.49	180.27	179.34	179.8	12271211	AAPL	2023-08-08 16:00:00	179.84437	185.43831	191.007903	191.1930255				0		19.0	1	2			74			
181.02	181.49	179.8	180.79	329037	AAPL	2023-08-09 09:00:00	179.62287	185.09131	190.89407300000002	191.13965050000002		180.79		0		19.0	1	2			75			
180.78	181.0	178.14	178.66	8011844	AAPL	2023-08-09 10:00:00	179.31037	184.70781	190.74957300000003	191.0717755				0		19.0	1	2			76			
178.66	179.6578	177.6	177.815	9124377	AAPL	2023-08-09 11:00:00	179.08362	184.3331825	190.601823	190.999051				0		19.0	1	2			77			
177.82	178.2	177.01	177.42	7272629	AAPL	2023-08-09 12:00:00	178.85512	183.9541825	190.45672299999998	190.931501	177.42			0	CF	19.0	1	2			78			
177.42	178.48	177.37	178.19	6666582	AAPL	2023-08-09 13:00:00	178.63412	183.5879325	190.311123	190.86677600000002				0		19.0	1	2			79			
178.195	178.79	178.1402	178.6732	3815474	AAPL	2023-08-09 14:00:00	178.64828	183.23400999999998	190.16275500000003	190.8054895				0		19.0	1	2			80			
178.67	179.59	178.61	179.16	6659912	AAPL	2023-08-09 15:00:00	178.70077999999998	182.89376	190.02055500000003	190.74476450000003				0		19.0	1	2			81			
191.85	191.95	190.99	191.0099	11149414	AAPL	2023-08-03 16:00:00	193.0855	194.5420525	194.161402	192.49028550000003				0		20.0	-1	3			82			
187.355	191.17	185.01	186.01	1915730	AAPL	2023-08-04 09:00:00	192.597	194.3158025	194.096302	192.4735855			inverted_hammer	0		20.0	-1	3			83			
186.0	191.855	183.25	185.295	26100537	AAPL	2023-08-04 10:00:00	192.05825	194.0569275	194.01940199999999	192.451564			inverted_hammer	0		20.0	-1	3			84			
185.3	185.77	184.27	185.36	15572770	AAPL	2023-08-04 11:00:00	191.53225	193.7979275	193.93510299999997	192.431714			hammer	0		20.0	-1	3			85			
185.37	186.375	184.93	185.6	10404984	AAPL	2023-08-04 12:00:00	191.03225	193.52517749999998	193.853803	192.41081400000002				0		20.0	-1	3			86			
185.605	185.68	185.08	185.22	5459832	AAPL	2023-08-04 13:00:00	190.55975	193.25705250000001	193.76935299999997	192.390189				0		20.0	-1	3			87	-2.320900000000009	414.7273000000009	212.80900000000014
185.23	185.26	184.79	184.91	7819266	AAPL	2023-08-04 14:00:00	190.10525	192.98667749999998	193.690353	192.367539				0		20.0	-1	3			88	-2.320900000000009	414.7273000000009	210.48810000000014
184.91	184.915	182.07	182.35	17166024	AAPL	2023-08-04 15:00:00	189.582745	192.6471775	193.584381	192.33055199999998				0		20.0	-1	3			89	-2.320900000000009	414.7273000000009	208.16720000000015
182.355	183.24	181.92	181.99	18197697	AAPL	2023-08-04 16:00:00	189.053245	192.3009275	193.470481	192.29250199999998			inverted_hammer	0		20.0	-1	3			90	-2.320900000000009	414.7273000000009	205.84630000000013
182.56	183.93	181.99	182.61	2923954	AAPL	2023-08-07 09:00:00	188.54174500000002	191.9513025	193.34588100000002	192.24485199999998			inverted_hammer	0		20.0	-1	3			91	-2.320900000000009	414.7273000000009	203.5254000000001
182.62	183.13	178.2101	178.39	20684852	AAPL	2023-08-07 10:00:00	187.81974	191.52105250000002	193.18178099999997	192.174377				0		20.0	-1	3			92	-2.320900000000009	414.7273000000009	201.2045000000001
178.395	179.79	178.065	178.11	16616125	AAPL	2023-08-07 11:00:00	187.08674000000002	191.0673025	193.00738099999998	192.10222699999997	178.11		inverted_hammer	0	CF	20.0	-1	3			93	-2.320900000000009	414.7273000000009	198.88360000000011
178.1	178.785	177.35	178.65	13411890	AAPL	2023-08-07 12:00:00	186.38974000000002	190.6300575	192.843081	192.0337835				0		20.0	-1	3			94	-2.320900000000009	414.7273000000009	196.5627000000001
178.66	178.83	177.74	178.23	8119933	AAPL	2023-08-07 13:00:00	185.715505	190.1880575	192.685081	191.9615335				0		20.0	-1	3			95	-2.320900000000009	414.7273000000009	194.24180000000007
